Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,475.85,477.84,466.5,472.77,70700,454.9,0.0,454.9,454.9
2016-01-05,2016,1,5,Tuesday,01,2016-01,472.77,477.35,472.58,476.27,42600,458.27,0.007403196897840969,456.585,456.585
2016-01-06,2016,1,6,Wednesday,01,2016-01,471.25,474.91,469.81,473.22,44400,455.34,-0.006403905753206596,456.17,456.17
2016-01-07,2016,1,7,Thursday,01,2016-01,466.9,470.2,455.04,461.02,106700,443.6,-0.025780854360176186,453.0275,453.0275
2016-01-08,2016,1,8,Friday,01,2016-01,464.6,468.15,461.18,464.45,102400,446.9,0.007440118493731607,451.80199999999996,451.80199999999996
2016-01-11,2016,1,11,Monday,02,2016-02,465.55,474.2,463.13,472.54,71800,454.68,0.017418402071901706,452.2816666666667,452.2816666666667
2016-01-12,2016,1,12,Tuesday,02,2016-02,475.6,478.06,469.57,476.0,105900,458.01,0.007322163375665491,453.09999999999997,453.09999999999997
2016-01-13,2016,1,13,Wednesday,02,2016-02,477.0,488.02,471.41,474.5,83700,456.57,-0.0031512972490530533,453.53375,453.53375
2016-01-14,2016,1,14,Thursday,02,2016-02,475.64,488.27,474.5,483.29,126100,465.03,0.018524799125181124,454.8111111111111,454.8111111111111
2016-01-15,2016,1,15,Friday,02,2016-02,474.23,478.77,469.0,471.28,153200,453.47,-0.024850577072147995,454.67699999999996,454.67699999999996
2016-01-19,2016,1,19,Tuesday,03,2016-03,474.3,474.54,460.74,463.2,61700,445.69,-0.017144769559556128,453.86,453.86
2016-01-20,2016,1,20,Wednesday,03,2016-03,458.21,459.45,446.87,453.52,74100,436.38,-0.020898180529664634,452.40333333333336,452.40333333333336
2016-01-21,2016,1,21,Thursday,03,2016-03,456.16,460.14,450.33,452.33,55900,435.24,-0.0026238316137756623,451.08307692307693,451.08307692307693
2016-01-22,2016,1,22,Friday,03,2016-03,456.99,464.11,453.56,461.83,65800,444.38,0.02100233084215608,450.6042857142857,450.6042857142857
2016-01-25,2016,1,25,Monday,04,2016-04,461.6,462.09,449.68,450.94,54600,433.9,-0.023580127885304947,449.1042857142857,449.49066666666664
2016-01-26,2016,1,26,Tuesday,04,2016-04,452.05,457.54,450.95,455.13,80300,437.93,0.009291761813271293,447.65142857142854,448.768125
2016-01-27,2016,1,27,Wednesday,04,2016-04,452.26,457.49,450.23,452.22,29900,435.13,-0.006393831505202008,446.2078571428571,447.9658823529412
2016-01-28,2016,1,28,Thursday,04,2016-04,455.89,462.67,451.9,459.54,63800,442.17,0.01618681964766,446.1057142857143,447.6438888888889
2016-01-29,2016,1,29,Friday,04,2016-04,462.05,478.2,460.55,477.92,69900,459.86,0.03999661539281241,447.03142857142853,448.2868421052632
2016-02-01,2016,2,1,Monday,05,2016-05,476.88,488.64,474.25,474.34,92600,456.41,-0.0074908541857985345,447.15500000000003,448.69300000000004
2016-02-02,2016,2,2,Tuesday,05,2016-05,470.25,481.47,463.49,463.51,51000,445.99,-0.02283173077405265,446.29642857142863,448.56428571428575
2016-02-03,2016,2,3,Wednesday,05,2016-05,467.6,468.0,455.93,465.79,90000,448.19,0.004919018011058984,445.6978571428572,448.54727272727274
2016-02-04,2016,2,4,Thursday,05,2016-05,463.15,472.59,458.23,463.32,35500,445.81,-0.005302805963181556,444.325,448.42826086956524
2016-02-05,2016,2,5,Friday,05,2016-05,463.31,467.27,458.4,459.54,68100,442.17,-0.00815857605421677,443.51785714285717,448.1675
2016-02-08,2016,2,8,Monday,06,2016-06,455.35,458.91,446.5,456.47,62800,439.22,-0.006680596193310739,443.05571428571426,447.8096
2016-02-09,2016,2,9,Tuesday,06,2016-06,453.08,459.86,451.65,457.55,63000,440.26,0.002365982436478342,443.3328571428571,447.5192307692308
2016-02-10,2016,2,10,Wednesday,06,2016-06,461.22,466.36,454.55,457.8,42100,440.5,0.0005464294512651513,443.7085714285714,447.25925925925924
2016-02-11,2016,2,11,Thursday,06,2016-06,452.8,453.76,447.5,451.35,59500,434.29,-0.014089113647283047,442.98785714285714,446.79607142857145
2016-02-12,2016,2,12,Friday,06,2016-06,454.96,464.3,448.2,462.2,51900,444.73,0.024039029438688297,443.7614285714286,446.7248275862069
2016-02-16,2016,2,16,Tuesday,07,2016-07,466.8,470.1,458.82,462.9,52400,445.41,0.001514444936374204,444.2957142857143,446.681
2016-02-17,2016,2,17,Wednesday,07,2016-07,465.82,475.72,462.39,465.0,63400,447.43,0.004536601615915847,445.1742857142857,446.7051612903226
2016-02-18,2016,2,18,Thursday,07,2016-07,464.66,467.67,461.3,466.1,49200,448.49,0.002365619149981235,445.6257142857143,446.7609375
2016-02-19,2016,2,19,Friday,07,2016-07,462.01,466.57,460.28,466.04,73700,448.43,-0.0001287428566256743,444.8092857142857,446.81151515151515
2016-02-22,2016,2,22,Monday,08,2016-08,466.22,469.6,465.0,468.31,55100,450.61,0.004870808759643186,444.39500000000004,446.9232352941176
2016-02-23,2016,2,23,Tuesday,08,2016-08,465.03,469.86,454.37,456.49,51400,439.24,-0.02523974407883811,443.91285714285715,446.70371428571434
2016-02-24,2016,2,24,Wednesday,08,2016-08,458.0,466.22,453.77,464.36,92200,446.81,0.017240234114455966,443.81428571428575,446.7066666666667
2016-02-25,2016,2,25,Thursday,08,2016-08,465.15,474.69,460.4,472.08,72500,454.24,0.016625050935387575,444.4164285714286,446.9102702702703
2016-02-26,2016,2,26,Friday,08,2016-08,474.7,474.7,461.92,466.04,77000,448.43,-0.012794377401952217,444.86357142857145,446.95026315789477
2016-02-29,2016,2,29,Monday,09,2016-09,466.18,469.31,462.17,463.98,77400,446.45,-0.004420150742452611,445.38000000000005,446.93743589743593
2016-03-01,2016,3,1,Tuesday,09,2016-09,466.56,481.73,464.78,481.45,71600,463.26,0.03765243826371223,447.0228571428571,447.3455
2016-03-02,2016,3,2,Wednesday,09,2016-09,480.35,490.37,479.02,480.96,82100,462.78,-0.0010177905171041557,448.61428571428576,447.72195121951216
2016-03-03,2016,3,3,Thursday,09,2016-09,480.0,484.69,476.01,482.91,96600,464.66,0.004054405782561332,450.78357142857146,448.12523809523805
2016-03-04,2016,3,4,Friday,09,2016-09,485.16,489.38,478.09,485.75,66000,467.39,0.005881003080656866,452.4021428571428,448.5732558139535
2016-03-07,2016,3,7,Monday,10,2016-10,483.54,486.93,477.03,479.89,60700,461.75,-0.012063777405374121,453.5692857142857,448.87272727272733
2016-03-08,2016,3,8,Tuesday,10,2016-10,475.64,480.0,473.86,477.29,66000,459.25,-0.00541790545151255,454.4135714285715,449.10333333333335
2016-03-09,2016,3,9,Wednesday,10,2016-10,478.13,482.95,476.0,480.84,40400,462.67,0.007437813223106993,455.4264285714285,449.3982608695652
2016-03-10,2016,3,10,Thursday,10,2016-10,481.8,489.62,476.59,480.66,39700,462.49,-0.0003743888478031643,456.4307142857143,449.67680851063835
